ID,k,Features,m,#Matches,Indices,max(dists),min(dists),med(dists),P,p-value,Sig_Hochber
48,1,3,60,361,"[384, 0, 32, 64, 96, 128, 160, 192, 224, 256, 288, 320, 352, 416, 448, 480, 512, 544, 576, 608, 640, 672, 704, 736, 768, 800, 832, 864, 896, 928, 960, 992, 1024, 1056, 1088, 1120, 1152, 1184, 1216, 1248, 1280, 1312, 1344, 1376, 1408, 1440, 1472, 1504, 1536, 1568, 1600, 1632, 1664, 1696, 1728, 1760, 1792, 1824, 1856, 1888, 1920, 1952, 1984, 2016, 2048, 2080, 2112, 2144, 2176, 2208, 2240, 2272, 2304, 2336, 2368, 2400, 2432, 2464, 2496, 2528, 2560, 2592, 2624, 2656, 2688, 2720, 2752, 2784, 2816, 2848, 2880, 2912, 2944, 2976, 3008, 3040, 3072, 3104, 3136, 3168, 3200, 3232, 3264, 3296, 3328, 3360, 3392, 3424, 3456, 3488, 3520, 3552, 3584, 3616, 3648, 3680, 3712, 3744, 3776, 3808, 3840, 3872, 3904, 3936, 3968, 4000, 4032, 4064, 4096, 4128, 4160, 4192, 4224, 4256, 4288, 4320, 4352, 4384, 4416, 4448, 4480, 4512, 4544, 4576, 4608, 4640, 4672, 4704, 4736, 4768, 4800, 4832, 4864, 4896, 4928, 4960, 4992, 5024, 5056, 5088, 5120, 5152, 5184, 5216, 5248, 5280, 5312, 5344, 5376, 5408, 5440, 5472, 5504, 5536, 5568, 5600, 5632, 5664, 5696, 5728, 5760, 5792, 5824, 5856, 5888, 5920, 5952, 5984, 6016, 6048, 6080, 6112, 6144, 6176, 6208, 6240, 6272, 6304, 6336, 6368, 6400, 6432, 6464, 6496, 6528, 6560, 6592, 6624, 6656, 6688, 6720, 6752, 6784, 6816, 6848, 6880, 6912, 6944, 6976, 7008, 7040, 7072, 7104, 7136, 7168, 7200, 7232, 7264, 7296, 7328, 7360, 7392, 7424, 7456, 7488, 7520, 7552, 7584, 7616, 7648, 7680, 7712, 7744, 7776, 8091, 8603, 8635, 8667, 8699, 8731, 8763, 8795, 8827, 8859, 8891, 8923, 8955, 8987, 9019, 9051, 9871, 9903, 9935, 9967, 9999, 10031, 10063, 10095, 10127, 10159, 10191, 10223, 10255, 10287, 10319, 10351, 10731, 10763, 10795, 10951, 10983, 11015, 11047, 11079, 11111, 11143, 11175, 11207, 11271, 11303, 11335, 11367, 11399, 11431, 11463, 11495, 11527, 11559, 11591, 11623, 11655, 11687, 11719, 11751, 11783, 11815, 11847, 11879, 11911, 11943, 11975, 12007, 12039, 12071, 12182, 12214, 12571, 12603, 12635, 12667, 12699, 12731, 12763, 12795, 12827, 12859, 12891, 12923, 12955, 12987, 13019, 13051, 13083, 13115, 13147, 13179, 13211, 13243, 13275, 13307, 13339, 13371, 13403, 13435, 13467, 13499, 13531, 13563, 13595, 13627, 13659, 13691, 13723, 13755, 13787, 13819, 13851, 13883, 13915, 13947, 13979, 14011]",0.0,0.0,0.0,0.6095521836132229,5.766008646543772e-14,True
49,1,2,60,403,"[7794, 0, 32, 176, 208, 313, 345, 436, 468, 556, 588, 675, 707, 802, 834, 866, 898, 930, 962, 994, 1096, 1128, 1160, 1192, 1224, 1256, 1331, 1363, 1395, 1427, 1459, 1491, 1562, 1594, 1626, 1658, 1690, 1722, 1754, 1786, 1818, 1850, 1882, 1914, 1946, 1978, 2010, 2042, 2074, 2106, 2138, 2170, 2202, 2234, 2266, 2298, 2330, 2362, 2394, 2426, 2458, 2490, 2522, 2554, 2586, 2618, 2650, 2682, 2714, 2802, 2834, 2866, 2898, 2930, 2962, 2994, 3026, 3058, 3090, 3122, 3154, 3186, 3218, 3250, 3282, 3314, 3346, 3378, 3410, 3442, 3474, 3506, 3538, 3570, 3602, 3634, 3666, 3698, 3730, 3762, 3794, 3826, 3858, 3890, 3922, 3954, 3986, 4018, 4050, 4082, 4114, 4146, 4178, 4210, 4242, 4274, 4306, 4338, 4370, 4402, 4434, 4466, 4498, 4530, 4562, 4594, 4626, 4658, 4690, 4722, 4754, 4786, 4818, 4850, 4882, 4914, 4946, 4978, 5010, 5042, 5074, 5106, 5138, 5170, 5202, 5234, 5266, 5298, 5330, 5362, 5394, 5426, 5458, 5490, 5522, 5554, 5586, 5618, 5650, 5682, 5714, 5746, 5778, 5810, 5842, 5874, 5906, 5938, 5970, 6002, 6034, 6066, 6098, 6130, 6162, 6194, 6226, 6258, 6290, 6322, 6354, 6386, 6418, 6450, 6482, 6514, 6546, 6578, 6610, 6642, 6674, 6706, 6738, 6770, 6802, 6834, 6866, 6898, 6930, 6962, 6994, 7026, 7058, 7090, 7122, 7154, 7186, 7218, 7250, 7282, 7314, 7346, 7378, 7410, 7442, 7474, 7506, 7538, 7570, 7602, 7634, 7666, 7698, 7730, 7762, 7826, 7858, 7890, 7922, 7954, 7986, 8018, 8050, 8082, 8114, 8146, 8178, 8210, 8242, 8274, 8306, 8338, 8370, 8402, 8434, 8466, 8498, 8530, 8562, 8860, 8892, 8924, 8956, 8988, 9020, 9052, 9084, 9116, 9148, 9180, 9212, 9244, 9276, 9308, 9340, 9372, 9404, 9436, 9468, 9500, 9532, 9564, 9596, 9628, 9660, 9692, 9724, 9756, 9788, 9820, 9852, 10134, 10166, 10198, 10230, 10262, 10294, 10326, 10358, 10390, 10422, 10454, 10486, 10518, 10550, 10582, 10614, 10646, 10678, 10710, 10742, 10774, 10806, 10838, 10870, 10902, 10934, 10966, 10998, 11030, 11062, 11094, 11126, 11158, 11190, 11222, 11254, 11286, 11318, 11350, 11382, 11414, 11446, 11478, 11510, 11542, 11574, 11606, 11638, 11670, 11702, 11734, 11766, 11798, 11830, 11862, 11894, 11926, 11958, 11990, 12022, 12054, 12086, 12118, 12150, 12182, 12214, 12246, 12278, 12310, 12342, 12374, 12406, 12438, 12470, 12502, 12534, 12566, 12598, 12630, 12662, 12694, 12726, 12758, 12790, 12822, 12854, 12886, 12918, 12950, 12982, 13014, 13046, 13078, 13110, 13142, 13174, 13206, 13238, 13270, 13302, 13334, 13366, 13398, 13430, 13462, 13494, 13526, 13558, 13590, 13622, 13654, 13686, 13718, 13750, 13782, 13814, 13846, 13878, 13910, 13942, 13974, 14006, 14038]",0.0,0.0,0.0,0.9004481579181358,0.9972119613343989,False
50,1,2,60,9,"[8584, 226, 606, 725, 363, 52, 1020, 486, 9870, 1270]",1.323,0.176,0.988,9.31450931042076e-05,6.0916264499238204e-21,True
0,3,"0,2,3",300,1,"[13017, 13169]",0.0,0.0,0.0,7.690367800416397e-05,2.518310859297487e-05,False
1,2,"2,3",300,1,"[1561, 2801]",0.0,0.0,0.0,5.390346230816959e-06,1.2426021061732656e-07,True
2,2,"2,3",300,51,"[1637, 1789, 1941, 2093, 2245, 2397, 2802, 2954, 3106, 3258, 3410, 3562, 3714, 3866, 4018, 4170, 4322, 4474, 4626, 4778, 4930, 5082, 5234, 5386, 5538, 5690, 5842, 5994, 6146, 6298, 6450, 6602, 6754, 6906, 7058, 7210, 7362, 7514, 10951, 11271, 11423, 11575, 11727, 12571, 12723, 12875, 13027, 13179, 13331, 13483, 13635, 13787]",0.0,0.0,0.0,0.07211177547726469,8.763293553424878e-35,True
3,4,"3,2,4,5",300,1,"[8665, 9939]",5.065,1.135,3.1,1.1548606672067657e-16,5.70558212130883e-29,True
4,2,"3,2",300,1,"[10018, 8744]",0.353,0.353,0.353,3.0029131839205445e-07,3.85761091380863e-10,True
5,3,"3,2,5",300,1,"[8820, 10094]",0.922,0.922,0.922,1.8478234899403669e-09,1.4607022521128595e-14,True
6,1,3,300,67,"[0, 152, 304, 456, 608, 760, 912, 1064, 1216, 1368, 1520, 1672, 1824, 1976, 2128, 2280, 2432, 2584, 2736, 2888, 3040, 3192, 3344, 3496, 3648, 3800, 3952, 4104, 4256, 4408, 4560, 4712, 4864, 5016, 5168, 5320, 5472, 5624, 5776, 5928, 6080, 6232, 6384, 6536, 6688, 6840, 6992, 7144, 7296, 7448, 8603, 8755, 9871, 10023, 10951, 11271, 11423, 11575, 11727, 12571, 12723, 12875, 13027, 13179, 13331, 13483, 13635, 13787]",0.0,0.0,0.0,0.0994029965162746,1.5214425710465804e-47,True
