ID,k,Features,m,#Matches,Indices,max(dists),min(dists),med(dists),P,p-value,Sig_Hochber
41,2,"2,3",60,635,"[17, 0, 33, 176, 192, 208, 313, 329, 345, 436, 452, 468, 556, 572, 588, 675, 691, 707, 802, 818, 834, 850, 866, 882, 898, 914, 930, 946, 962, 978, 994, 1096, 1112, 1128, 1144, 1160, 1176, 1192, 1208, 1224, 1240, 1256, 1331, 1347, 1363, 1379, 1395, 1411, 1427, 1443, 1459, 1475, 1491, 1562, 1578, 1594, 1610, 1626, 1642, 1658, 1674, 1690, 1706, 1722, 1738, 1754, 1770, 1786, 1802, 1818, 1834, 1850, 1866, 1882, 1898, 1914, 1930, 1946, 1962, 1978, 1994, 2010, 2026, 2042, 2058, 2074, 2090, 2106, 2122, 2138, 2154, 2170, 2186, 2202, 2218, 2234, 2250, 2266, 2282, 2298, 2314, 2330, 2346, 2362, 2378, 2394, 2410, 2426, 2442, 2458, 2474, 2490, 2506, 2522, 2538, 2554, 2570, 2586, 2602, 2618, 2634, 2650, 2666, 2682, 2698, 2714, 2730, 2802, 2818, 2834, 2850, 2866, 2882, 2898, 2914, 2930, 2946, 2962, 2978, 2994, 3010, 3026, 3042, 3058, 3074, 3090, 3106, 3122, 3138, 3154, 3170, 3186, 3202, 3218, 3234, 3250, 3266, 3282, 3298, 3314, 3330, 3346, 3362, 3378, 3394, 3410, 3426, 3442, 3458, 3474, 3490, 3506, 3522, 3538, 3554, 3570, 3586, 3602, 3618, 3634, 3650, 3666, 3682, 3698, 3714, 3730, 3746, 3762, 3778, 3794, 3810, 3826, 3842, 3858, 3874, 3890, 3906, 3922, 3938, 3954, 3970, 3986, 4002, 4018, 4034, 4050, 4066, 4082, 4098, 4114, 4130, 4146, 4162, 4178, 4194, 4210, 4226, 4242, 4258, 4274, 4290, 4306, 4322, 4338, 4354, 4370, 4386, 4402, 4418, 4434, 4450, 4466, 4482, 4498, 4514, 4530, 4546, 4562, 4578, 4594, 4610, 4626, 4642, 4658, 4674, 4690, 4706, 4722, 4738, 4754, 4770, 4786, 4802, 4818, 4834, 4850, 4866, 4882, 4898, 4914, 4930, 4946, 4962, 4978, 4994, 5010, 5026, 5042, 5058, 5074, 5090, 5106, 5122, 5138, 5154, 5170, 5186, 5202, 5218, 5234, 5250, 5266, 5282, 5298, 5314, 5330, 5346, 5362, 5378, 5394, 5410, 5426, 5442, 5458, 5474, 5490, 5506, 5522, 5538, 5554, 5570, 5586, 5602, 5618, 5634, 5650, 5666, 5682, 5698, 5714, 5730, 5746, 5762, 5778, 5794, 5810, 5826, 5842, 5858, 5874, 5890, 5906, 5922, 5938, 5954, 5970, 5986, 6002, 6018, 6034, 6050, 6066, 6082, 6098, 6114, 6130, 6146, 6162, 6178, 6194, 6210, 6226, 6242, 6258, 6274, 6290, 6306, 6322, 6338, 6354, 6370, 6386, 6402, 6418, 6434, 6450, 6466, 6482, 6498, 6514, 6530, 6546, 6562, 6578, 6594, 6610, 6626, 6642, 6658, 6674, 6690, 6706, 6722, 6738, 6754, 6770, 6786, 6802, 6818, 6834, 6850, 6866, 6882, 6898, 6914, 6930, 6946, 6962, 6978, 6994, 7010, 7026, 7042, 7058, 7074, 7090, 7106, 7122, 7138, 7154, 7170, 7186, 7202, 7218, 7234, 7250, 7266, 7282, 7298, 7314, 7330, 7346, 7362, 7378, 7394, 7410, 7426, 7442, 7458, 7474, 7490, 7506, 7522, 7538, 7554, 7570, 7586, 7602, 7618, 7634, 7650, 7666, 7682, 7698, 7714, 7730, 7746, 7762, 8091, 8860, 8876, 8892, 8908, 8924, 8940, 8956, 8972, 8988, 9004, 9020, 9036, 9052, 9068, 10134, 10150, 10166, 10182, 10198, 10214, 10230, 10246, 10262, 10278, 10294, 10310, 10326, 10342, 10731, 10747, 10763, 10779, 10795, 10951, 10967, 10983, 10999, 11015, 11031, 11047, 11063, 11079, 11095, 11111, 11127, 11143, 11159, 11175, 11191, 11207, 11271, 11287, 11303, 11319, 11335, 11351, 11367, 11383, 11399, 11415, 11431, 11447, 11463, 11479, 11495, 11511, 11527, 11543, 11559, 11575, 11591, 11607, 11623, 11639, 11655, 11671, 11687, 11703, 11719, 11735, 11751, 11767, 11783, 11799, 11815, 11831, 11847, 11863, 11879, 11895, 11911, 11927, 11943, 11959, 11975, 11991, 12007, 12023, 12039, 12055, 12071, 12182, 12198, 12214, 12230, 12571, 12587, 12603, 12619, 12635, 12651, 12667, 12683, 12699, 12715, 12731, 12747, 12763, 12779, 12795, 12811, 12827, 12843, 12859, 12875, 12891, 12907, 12923, 12939, 12955, 12971, 12987, 13003, 13019, 13035, 13051, 13067, 13083, 13099, 13115, 13131, 13147, 13163, 13179, 13195, 13211, 13227, 13243, 13259, 13275, 13291, 13307, 13323, 13339, 13355, 13371, 13387, 13403, 13419, 13435, 13451, 13467, 13483, 13499, 13515, 13531, 13547, 13563, 13579, 13595, 13611, 13627, 13643, 13659, 13675, 13691, 13707, 13723, 13739, 13755, 13771, 13787, 13803, 13819, 13835, 13851, 13867, 13883, 13899, 13915, 13931, 13947, 13963, 13979, 13995, 14011, 14027]",0.0,0.0,0.0,0.5489568236320982,1.0,False
42,2,"3,5",60,11,"[524, 1812, 5700, 6320, 3097, 3428, 4327, 4588, 2140, 2531, 3151, 7279]",2.995,0.0,2.934,0.33809691844958856,0.9999999999999984,False
43,2,"3,5",60,22,"[2746, 2069, 2762, 2778, 3065, 3755, 3771, 3787, 4134, 4150, 4849, 4865, 4881, 4969, 5289, 5671, 7149, 7165, 7181, 7197, 7213, 7229, 7245]",0.0,0.0,0.0,0.33829452202461163,1.0000000000000069,False
44,2,"2,3",60,9,"[7778, 8093, 9080, 12234, 10354, 11210, 10803, 12076, 9386, 9590]",1.989,0.0,0.0,8.241357508363581e-05,4.273730980042348e-07,True
45,2,"2,4",60,7,"[8455, 6719, 7615, 6071, 4816, 4210, 5972, 7157]",3.574,0.0,2.995,0.09043098793847637,1.0000000000000109,False
46,2,"0,3",60,2,"[8671, 12705, 12785]",0.0,0.0,0.0,0.30039037651795286,0.9999999999999997,False
47,2,"0,3",60,60,"[8687, 8703, 12708, 12724, 12788, 12804, 12820, 12836, 12852, 12868, 12884, 12900, 12916, 12932, 12948, 13017, 13033, 13049, 13065, 13081, 13097, 13113, 13129, 13145, 13161, 13177, 13193, 13209, 13225, 13241, 13257, 13273, 13289, 13305, 13321, 13337, 13353, 13369, 13385, 13401, 13417, 13433, 13449, 13465, 13481, 13497, 13513, 13529, 13599, 13615, 13631, 13647, 13663, 13728, 13744, 13760, 13776, 13982, 13998, 14014, 14030]",0.0,0.0,0.0,0.3005232995122335,0.9999999999999983,False
48,2,"0,3",60,19,"[8719, 13539, 13668, 13779, 14033, 11563, 10074, 116, 11188, 8800, 11437, 11313, 11687, 11783, 2381, 842, 5440, 2950, 6377, 11968]",2.037,0.0,0.072,0.3005232995122335,0.9999999999999983,False
49,2,"2,5",60,11,"[9525, 4964, 6531, 6378, 1152, 4621, 3059, 10696, 5284, 6308, 1387, 7142]",2.995,0.0,2.995,0.06747130779742438,1.0000000000000002,False
50,2,"2,5",60,8,"[9541, 4653, 1630, 2080, 2843, 3069, 4086, 4161, 5305]",2.995,0.0,2.995,0.06658754827775211,1.000000000000001,False
